,film,revenue,release_date
224,Pokémon: The First Movie - Mewtwo Strikes Back,163644662,1998-07-18
225,Stepmom,159710793,1998-12-25
226,Meet Joe Black,142940100,1998-11-12
227,Lost in Space,136159423,1998-04-03
228,Blade,131183530,1998-08-21
229,A Perfect Murder,128038368,1998-06-05
230,The Wedding Singer,123306987,1998-02-13
231,Star Trek: Insurrection,118000000,1998-12-11
232,The Siege,116672912,1998-11-06
233,Snake Eyes,103891409,1998-08-07
234,U.S. Marshals,102367405,1998-03-06
235,The Rugrats Movie,100491683,1998-11-20
236,Bayside Shakedown,98980000,1998-10-31
237,The Thin Red Line,98126565,1998-03-05
238,Mercury Rising,93107289,1998-04-03
239,The Parent Trap,92108518,1998-07-28
240,Elizabeth,82150642,1998-09-13
241,Hope Floats,81471882,1998-05-29
242,The Dinner Game,78599508,1998-04-15
243,Out of Sight,77745966,1998-06-26
244,Everest,76447420,1998-03-06
245,The Newton Boys,76000000,1998-03-26
246,Urban Legend,72527595,1998-09-25
247,What Dreams May Come,71485043,1998-10-02
248,Ronin,70692101,1998-09-25
249,Babe: Pig in the City,69131860,1998-11-25
250,Wild Things,67200000,1998-03-20
251,The Visitors II: The Corridors of Time,66000000,1998-02-11
252,EverAfter,65705772,1998-07-31
253,Sliding Doors,58809149,1998-04-23
254,A Civil Action,56702901,1998-12-25
255,Great Expectations,55494066,1998-01-19
256,Halloween H20: 20 Years Later,55041738,1998-08-05
257,Small Soldiers,54682547,1998-07-10
258,Primary Colors,52100000,1998-03-20
259,Bride of Chucky,50671850,1998-10-16
260,The Avengers,48585416,1998-08-13
261,The Object of My Affection,46905889,1998-04-17
262,The Big Lebowski,46748047,1998-03-06
263,Practical Magic,46733235,1998-10-16
264,The Negotiator,44547681,1998-07-29
265,Taxi,44500000,1998-04-08
266,Knock Off,44000000,1998-09-04
267,Waking Ned,43515982,1998-09-15
268,Mysteries of Egypt,40593286,1998-01-01
269,The Faculty,40283321,1998-12-25
270,I Still Know What You Did Last Summer,40002112,1998-11-13
271,Quest for Camelot,38172500,1998-05-15
272,How Stella Got Her Groove Back,37672350,1998-08-14
273,Psycho,37141130,1998-12-04
274,Sphere,37020277,1998-02-13
275,A Night at the Roxbury,30331165,1998-10-01
276,Madeline,30000000,1998-07-10
277,Bulworth,29202884,1998-05-15
278,"Lock, Stock and Two Smoking Barrels",28356188,1998-08-28
279,Dark City,27200316,1998-02-27
280,The Big Hit,27007143,1998-04-24
281,Can't Hardly Wait,25605015,1998-06-12
282,Fallen,25232289,1998-01-16
283,American History X,23875127,1998-07-01
284,The Players Club,23261485,1998-04-08
285,Rounders,22921898,1998-09-11
286,He Got Game,21567853,1998-05-01
287,The Legend of 1900,21057208,1998-10-28
288,Vampires,20308772,1998-10-30
289,Hard Rain,19870567,1998-01-16
290,The Replacement Killers,19204929,1998-02-06
291,Species II,19165560,1998-04-10
292,Jane Austen's Mafia!,19000000,1998-07-24
293,Simon Birch,18253415,1998-09-11
294,Disturbing Behavior,17507368,1998-07-24
295,Half Baked,17460020,1998-01-16
296,Rushmore,17096053,1998-12-11
297,54,16757163,1998-08-28
298,Detective Conan: The Fourteenth Target,16330622,1998-04-19
299,A Simple Plan,16316273,1998-12-11
300,Star Wars: Episode I - The Phantom Menace,924317558,1999-05-19
301,The Sixth Sense,672806292,1999-08-06
302,Toy Story 2,497366869,1999-10-30
303,The Matrix,463517383,1999-03-30
304,Tarzan,448191819,1999-06-18
305,The Mummy,415885488,1999-04-16
306,Notting Hill,363889678,1999-05-13
307,The World Is Not Enough,361832400,1999-11-17
308,American Beauty,356296601,1999-09-15
309,Austin Powers: The Spy Who Shagged Me,312016858,1999-06-08
310,Runaway Bride,309457509,1999-07-30
311,Stuart Little,300135367,1999-12-17
312,The Green Mile,286801374,1999-12-10
313,The Blair Witch Project,248639099,1999-07-14
314,American Pie,235483004,1999-07-09
315,Big Daddy,234801895,1999-06-25
316,Wild Wild West,222104681,1999-06-29
317,Entrapment,212404396,1999-04-29
318,End of Days,211989043,1999-11-24
319,Sleepy Hollow,206071502,1999-11-18
320,Double Jeopardy,177841558,1999-09-24
321,Analyze This,176885658,1999-03-05
322,Deep Blue Sea,164648142,1999-07-28
323,Pokémon: The Movie 2000,163649270,1999-07-17
324,Eyes Wide Shut,162091208,1999-07-16
325,Payback,161626121,1999-02-05
326,The Bone Collector,151493655,1999-11-04
327,The General's Daughter,149705852,1999-06-18
328,Inspector Gadget,134400000,1999-07-23
329,The Talented Mr. Ripley,128798265,1999-12-25
330,The Thomas Crown Affair,124305181,1999-08-06
331,Message in a Bottle,118880016,1999-02-22
332,Blue Streak,117758500,1999-09-17
333,Anna and the King,113996937,1999-12-16
334,Three Kings,108000000,1999-04-21
335,She's All That,103166989,1999-01-29
336,Fight Club,100853753,1999-10-15
337,Any Given Sunday,100230832,1999-12-16
338,Bowfinger,98625775,1999-08-12
339,8MM,96618699,1999-02-26
340,Forces of Nature,93888180,1999-03-12
341,The Haunting,91188905,1999-07-23
342,Galaxy Quest,90683916,1999-12-23
343,The Cider House Rules,88545092,1999-12-17
344,Never Been Kissed,84565230,1999-04-09
345,"South Park: Bigger, Longer & Uncut",83137603,1999-06-30
346,Cruel Intentions,76347426,1999-03-05
347,Random Hearts,74608570,1999-10-08
348,The Hurricane,73956241,1999-09-17
349,Life,73521587,1999-04-16
350,All About My Mother,67872296,1999-04-16
351,The Messenger: The Story of Joan of Arc,66976317,1999-10-27
352,Deuce Bigalow: Male Gigolo,65535067,1999-12-10
353,The 13th Warrior,61698899,1999-08-13
354,Fantasia 2000,60655420,1999-12-17
355,The Insider,60289912,1999-03-10
356,The Story of Us,58900031,1999-10-14
357,The Ninth Gate,58401898,1999-08-25
358,Lake Placid,56870414,1999-07-15
359,10 Things I Hate About You,53478166,1999-03-30
360,Stigmata,50041732,1999-09-10
361,The Boondock Saints,50000000,1999-01-22
362,Magnolia,48451803,1999-12-10
363,"Girl, Interrupted",48350205,1999-03-24
364,Man on the Moon,47434430,1999-12-22
365,For Love of the Game,46112640,1999-09-17
366,House on Haunted Hill,40846082,1999-10-29
367,Blast from the Past,40263020,1999-02-12
368,The Bachelor,36911617,1999-11-05
369,My Favorite Martian,36850101,1999-02-11
370,Baby Geniuses,36450736,1999-03-12
371,October Sky,34698685,1999-02-19
